kommunenummer,kommunenavn,adressetype,adressetilleggsnavn,adressetilleggsnavnKilde,adressekode,adressenavn,nummer,bokstav,gardsnummer,bruksnummer,festenummer,seksjonsnummer,undernummer,bruksenhetId,bruksenhetsnummerTekst,offisiellAdresseTekst,offisiellAdresseTekstUtenAdressetilleggsnavn,EPSG-kode,Nord,Øst,postnummer,poststed,grunnkretsnummer,grunnkretsnavn,soknenummer,soknenavn,organisasjonsnummer,tettstednummer,tettstednavn,valgkretsnummer,valgkretsnavn,oppdateringsdato,datauttaksdato,adresseId,uuidAdresse,uuidBruksenhet,atkomstId,uuidAtkomst,atkomstNord,atkomstØst,sommeratkomstId,uuidSommeratkomst,sommeratkomstNord,sommeratkomstØst,vinteratkomstId,uuidVinteratkomst,vinteratkomstNord,vinteratkomstØst,longitude,latitude
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,1246,,5,26,,,,145187293.0,U0101,Ullstindvegen 1246-U0101,Ullstindvegen 1246-U0101,25833,7749140.0,673120.0,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313306418,3a3cb565-c7d5-557d-926f-9d2dccd42e3f,fc3f0652-b6c9-5f46-9df8-7c0814f29346,,,,,,,,,,,,,19.494298708010867,69.79277371549814
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,1246,,5,26,,,,61173522.0,H0101,Ullstindvegen 1246-H0101,Ullstindvegen 1246-H0101,25833,7749140.0,673120.0,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313306418,3a3cb565-c7d5-557d-926f-9d2dccd42e3f,fd755e1a-2ada-55f9-bb64-171e1dd08eca,,,,,,,,,,,,,19.494298708010867,69.79277371549814
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,1256,,5,1,,,,61173523.0,,Ullstindvegen 1256,Ullstindvegen 1256,25833,7749231.0,673133.0,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313306879,262c73ef-73f0-5e2f-b484-daef138d82e4,6e565ba7-6862-5dba-ac88-06d3f5d8b073,,,,,,,,,,,,,19.494808503835905,69.79357866796582
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,1242,,5,3,,,,61173521.0,,Ullstindvegen 1242,Ullstindvegen 1242,25833,7749115.0,673047.0,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313306417,98202027-7dff-58c7-bd45-7b6626372ae2,ec35f32e-2810-5128-9969-98771e680138,,,,,,,,,,,,,19.492363214308284,69.79259834749338
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,1274,,5,29,,,,61173524.0,,Ullstindvegen 1274,Ullstindvegen 1274,25833,7749311.0,673250.0,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313306880,93271a9b-d6f5-51d7-811c-d3e3e37f76c2,aea5210c-2145-50ae-beff-702e0dc52d17,,,,,,,,,,,,,19.497987026703665,69.7942166629835
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,1273,,5,25,,,,60793972.0,,Ullstindvegen 1273,Ullstindvegen 1273,25833,7749296.0,673285.0,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313306881,bdcc5f44-ef78-5d48-821c-99a7a9854c67,aeab4509-b887-5ca5-a73b-899071bdb1c1,,,,,,,,,,,,,19.498863557551804,69.7940594644803
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,1211,,5,5,,,,61173519.0,,Ullstindvegen 1211,Ullstindvegen 1211,25833,7748956.0,672789.0,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313306413,10a34fd7-9775-53b1-a446-88b34ab193d9,54398442-63e2-5c12-bbfa-8c3908ec6464,,,,,,,,,,,,,19.48538847036609,69.79134683001583
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,1230,,5,19,,,,61173520.0,,Ullstindvegen 1230,Ullstindvegen 1230,25833,7749117.0,672972.0,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313306415,e122718b-f847-5e0c-84b3-f48fc83ed94c,a3f91092-6a0c-5b72-8f51-60b5cf7425b2,,,,,,,,,,,,,19.490427490864615,69.79266565300733
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,1232,,5,19,,,,145500962.0,,Ullstindvegen 1232,Ullstindvegen 1232,25833,7749123.0,672993.0,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313306416,3da8f46c-2ade-55cb-95e6-e38e16b6f4ae,4188f213-7231-5ce7-b3b7-f2d4f1827588,,,,,,,,,,,,,19.490981999088273,69.79270545525523
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,1236,,5,36,,,,346071753.0,,Ullstindvegen 1236,Ullstindvegen 1236,25833,7749073.8,673012.6,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,314251332,0308d3d0-cce6-58f5-b97d-0e0863679274,567cdc96-4a77-5317-aed5-742fa16257dd,,,,,,,,,,,,,19.491395074902456,69.79225269696427
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,1234,,5,35,,,,,,Ullstindvegen 1234,Ullstindvegen 1234,25833,7749098.7,673004.2,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,314251331,722a3a29-56eb-51f4-9518-735cf8089e3d,,,,,,,,,,,,,,19.491225315471855,69.7924808356157
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,1225,,5,2,,,,60797646.0,,Ullstindvegen 1225,Ullstindvegen 1225,25833,7749008.0,672933.0,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313306414,33dda81d-94f4-5eb3-b20d-2e74aa353636,51fa348a-5bcb-560f-a322-20322a545742,,,,,,,,,,,,,19.48921123928175,69.79171689609193
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,1197,,5,20,,,,61202417.0,,Ullstindvegen 1197,Ullstindvegen 1197,25833,7748668.1,672639.9,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313306410,c7f6204d-b827-59ab-9e5b-317f8e35abd1,c91c4a8b-2380-59e0-95f2-f67c771c0256,,,,,,,,,,,,,19.480985334622524,69.78887108607857
5501,TROMSØ,vegadresse,,,66003,Ullstindvegen,1193,,5,7,,,,61173518.0,,Ullstindvegen 1193,Ullstindvegen 1193,25833,7748878.0,672620.0,9023,KROKELVDALEN,55013002,Skittenelv,11010301,Kroken,971578211,,,12,Kroken,01.01.2024 00:00:00,03.07.2025 05:04:54,313306411,d717e4dd-1bcc-5128-91b4-bae3ea05a81a,ee8ad23e-c500-59fd-a4c1-14eb2ce2d38a,,,,,,,,,,,,,19.480869918717815,69.79076067826801
